frame_idx,timestamp,cx,cy,area,command
0,1764904718.922319,338,669,20823,FORWARD
1,1764904719.1875427,341,668,21248,FORWARD
2,1764904719.2765322,342,669,21152,FORWARD
3,1764904719.3062704,344,667,21276,FORWARD
4,1764904719.3356838,345,667,21443,FORWARD
5,1764904719.3711176,348,667,21181,FORWARD
6,1764904719.4077334,351,668,21166,FORWARD
7,1764904719.4386802,355,668,21453,FORWARD
8,1764904719.4734437,358,668,21458,FORWARD
9,1764904719.5045066,357,668,21484,FORWARD
10,1764904719.5389674,355,665,22065,FORWARD
11,1764904719.5733392,353,668,22140,FORWARD
12,1764904719.6074896,354,664,22769,FORWARD
13,1764904719.6387193,356,662,23140,FORWARD
14,1764904719.673517,358,657,23349,FORWARD
15,1764904719.7107108,362,653,23176,FORWARD
16,1764904719.7854269,362,653,23176,FORWARD
17,1764904719.85107,362,653,23176,FORWARD
18,1764904719.8839386,362,653,23176,FORWARD
19,1764904719.9154463,362,653,23176,FORWARD
20,1764904719.9451873,362,653,23176,FORWARD
21,1764904719.9734027,362,653,23176,FORWARD
22,1764904719.9997325,362,653,23176,FORWARD
23,1764904720.0303879,362,653,23176,FORWARD
24,1764904720.0630128,362,653,23176,FORWARD
25,1764904720.0942304,362,653,23176,FORWARD
26,1764904720.1236706,362,653,23176,FORWARD
27,1764904720.1476004,362,653,23176,FORWARD
28,1764904720.170674,362,653,23176,FORWARD
29,1764904720.1950984,362,653,23176,FORWARD
30,1764904720.2181156,362,653,23176,FORWARD
31,1764904720.24646,362,653,23176,FORWARD
32,1764904720.2687771,362,653,23176,FORWARD
33,1764904720.2925143,362,653,23176,FORWARD
34,1764904720.3265667,362,653,23176,FORWARD
35,1764904720.350819,362,653,23176,FORWARD
36,1764904720.3800337,362,653,23176,FORWARD
37,1764904720.404685,362,653,23176,FORWARD
38,1764904720.432368,362,653,23176,FORWARD
39,1764904720.4605525,362,653,23176,FORWARD
40,1764904720.4906392,362,653,23176,FORWARD
41,1764904720.5367928,362,653,23176,FORWARD
42,1764904720.568282,362,653,23176,FORWARD
43,1764904720.6089764,362,653,23176,FORWARD
44,1764904720.6390395,362,653,23176,FORWARD
45,1764904720.6684115,362,653,23176,FORWARD
46,1764904720.693038,362,653,23176,FORWARD
47,1764904720.7228575,362,653,23176,FORWARD
48,1764904720.7518039,362,653,23176,FORWARD
49,1764904720.7796082,362,653,23176,FORWARD
50,1764904720.8148546,362,653,23176,FORWARD
51,1764904720.8524203,362,653,23176,FORWARD
