frame_idx,timestamp,cx,cy,area,command
0,1765269638.0578232,414,652,250964,FORWARD
1,1765269638.2838914,414,652,250964,FORWARD
2,1765269638.3212368,414,652,250964,FORWARD
3,1765269638.353619,414,652,250964,FORWARD
4,1765269638.385221,414,652,250964,FORWARD
5,1765269638.4143765,414,652,250964,FORWARD
6,1765269638.4466004,414,652,250960,FORWARD
7,1765269638.475039,414,652,250922,FORWARD
8,1765269638.50482,414,652,250890,FORWARD
9,1765269638.5328002,414,652,250890,FORWARD
10,1765269638.5627878,414,652,250890,FORWARD
11,1765269638.5958462,414,652,250846,FORWARD
12,1765269638.628678,413,652,250766,FORWARD
13,1765269638.6741188,413,652,250718,FORWARD
14,1765269638.7051523,413,652,250603,FORWARD
15,1765269638.7415683,413,651,250109,FORWARD
16,1765269638.7730224,413,651,249606,FORWARD
17,1765269638.801023,413,651,249400,FORWARD
18,1765269638.8323374,412,651,249437,FORWARD
19,1765269638.8618338,412,651,249020,FORWARD
20,1765269638.9031196,411,651,248847,FORWARD
21,1765269638.9360268,410,650,249293,FORWARD
22,1765269638.9728215,410,652,247617,FORWARD
23,1765269639.0130646,409,652,246713,FORWARD
24,1765269639.0400896,408,651,246086,FORWARD
25,1765269639.0710797,408,651,245455,FORWARD
26,1765269639.0976012,407,650,245439,FORWARD
27,1765269639.1252995,406,649,244893,FORWARD
28,1765269639.1527712,405,649,244093,FORWARD
29,1765269639.1845143,404,648,243553,FORWARD
30,1765269639.2216806,402,647,243737,FORWARD
31,1765269639.2539833,401,646,242985,FORWARD
32,1765269639.2871754,400,646,242455,FORWARD
33,1765269639.3199415,400,645,242632,FORWARD
34,1765269639.3508487,398,643,242468,FORWARD
35,1765269639.3829293,396,645,240650,FORWARD
36,1765269639.4122741,395,644,238923,FORWARD
37,1765269639.446147,393,644,237795,FORWARD
38,1765269639.4790072,391,643,237496,FORWARD
39,1765269639.5092623,388,642,236942,FORWARD
40,1765269639.5411925,386,642,236888,FORWARD
41,1765269639.5716486,384,642,236078,FORWARD
42,1765269639.6004403,381,641,235672,FORWARD
43,1765269639.6316752,379,640,233614,FORWARD
44,1765269639.6605992,375,640,233316,FORWARD
45,1765269639.6935077,372,642,234000,FORWARD
46,1765269639.723442,369,645,235676,FORWARD
