frame_idx,timestamp,cx,cy,area,command
0,1765268991.3430066,-1,-1,0,SEARCH
1,1765268992.0855489,-1,-1,0,SEARCH
2,1765268992.122527,-1,-1,0,SEARCH
3,1765268992.1596298,-1,-1,0,SEARCH
4,1765268992.1898935,-1,-1,0,SEARCH
5,1765268992.2249806,-1,-1,0,SEARCH
6,1765268992.2546053,302,298,78,SEARCH
7,1765268992.2890122,302,297,78,SEARCH
8,1765268992.3269296,301,297,67,SEARCH
9,1765268992.372566,301,298,65,SEARCH
10,1765268992.4075034,301,297,65,SEARCH
11,1765268992.4448462,300,295,63,SEARCH
12,1765268992.4864097,299,295,70,SEARCH
13,1765268992.5313091,299,294,70,SEARCH
14,1765268992.5720825,299,293,72,SEARCH
15,1765268992.6183646,298,293,74,SEARCH
16,1765268992.664292,298,292,69,SEARCH
17,1765268992.7044797,298,295,119,SEARCH
18,1765268992.7459326,296,290,88,SEARCH
19,1765268992.7853658,296,290,86,SEARCH
20,1765268992.8307486,296,290,86,SEARCH
21,1765268992.8709226,295,290,86,SEARCH
22,1765268992.9115517,295,290,90,SEARCH
23,1765268992.9580286,294,291,90,SEARCH
24,1765268992.99001,293,292,90,SEARCH
25,1765268993.0272875,292,292,91,SEARCH
26,1765268993.068288,291,292,89,SEARCH
27,1765268993.1175036,290,292,89,SEARCH
28,1765268993.1671882,288,294,76,SEARCH
29,1765268993.2087564,287,296,58,SEARCH
30,1765268993.2442014,-1,-1,0,SEARCH
31,1765268993.2810168,-1,-1,0,SEARCH
32,1765268993.3167725,-1,-1,0,SEARCH
33,1765268993.358773,-1,-1,0,SEARCH
34,1765268993.3926377,-1,-1,0,SEARCH
35,1765268993.4187996,-1,-1,0,SEARCH
36,1765268993.4479284,275,300,53,SEARCH
37,1765268993.482679,-1,-1,0,SEARCH
38,1765268993.5115886,-1,-1,0,SEARCH
39,1765268993.5396557,-1,-1,0,SEARCH
40,1765268993.5674663,-1,-1,0,SEARCH
41,1765268993.6016712,262,305,51,SEARCH
42,1765268993.6294181,260,305,51,SEARCH
43,1765268993.6565747,257,305,58,SEARCH
44,1765268993.6851103,254,306,55,SEARCH
45,1765268993.711953,251,306,54,SEARCH
46,1765268993.7391808,248,306,54,SEARCH
47,1765268993.7670927,-1,-1,0,SEARCH
48,1765268993.794029,-1,-1,0,SEARCH
49,1765268993.8274345,-1,-1,0,SEARCH
50,1765268993.8552082,-1,-1,0,SEARCH
51,1765268993.8819578,-1,-1,0,SEARCH
52,1765268993.9101202,-1,-1,0,SEARCH
53,1765268993.940272,-1,-1,0,SEARCH
54,1765268993.966944,-1,-1,0,SEARCH
55,1765268993.9962103,-1,-1,0,SEARCH
56,1765268994.0262775,-1,-1,0,SEARCH
57,1765268994.055375,-1,-1,0,SEARCH
58,1765268994.082673,-1,-1,0,SEARCH
59,1765268994.1141741,-1,-1,0,SEARCH
60,1765268994.142549,-1,-1,0,SEARCH
61,1765268994.1751258,-1,-1,0,SEARCH
62,1765268994.2091331,-1,-1,0,SEARCH
63,1765268994.2376838,-1,-1,0,SEARCH
64,1765268994.2654004,-1,-1,0,SEARCH
65,1765268994.2921045,-1,-1,0,SEARCH
66,1765268994.319018,-1,-1,0,SEARCH
67,1765268994.346517,-1,-1,0,SEARCH
68,1765268994.375166,-1,-1,0,SEARCH
69,1765268994.4053028,-1,-1,0,SEARCH
70,1765268994.434688,-1,-1,0,SEARCH
71,1765268994.4607759,-1,-1,0,SEARCH
72,1765268994.4881566,-1,-1,0,SEARCH
73,1765268994.5165997,-1,-1,0,SEARCH
74,1765268994.542281,-1,-1,0,SEARCH
75,1765268994.5714343,-1,-1,0,SEARCH
76,1765268994.6007912,-1,-1,0,SEARCH
77,1765268994.627377,-1,-1,0,SEARCH
78,1765268994.6520336,-1,-1,0,SEARCH
79,1765268994.6803524,-1,-1,0,SEARCH
80,1765268994.7085023,-1,-1,0,SEARCH
81,1765268994.7322633,-1,-1,0,SEARCH
82,1765268994.7604623,-1,-1,0,SEARCH
83,1765268994.790182,-1,-1,0,SEARCH
84,1765268994.8180413,-1,-1,0,SEARCH
85,1765268994.85145,-1,-1,0,SEARCH
86,1765268994.8848557,-1,-1,0,SEARCH
87,1765268994.913428,-1,-1,0,SEARCH
88,1765268994.9380882,-1,-1,0,SEARCH
89,1765268994.9642851,-1,-1,0,SEARCH
90,1765268994.9899387,-1,-1,0,SEARCH
91,1765268995.0160131,-1,-1,0,SEARCH
92,1765268995.0411491,-1,-1,0,SEARCH
