frame_idx,timestamp,cx,cy,area,command
0,1765269052.8466558,252,420,30859,FORWARD
1,1765269053.0481858,252,420,30859,FORWARD
2,1765269053.0788517,252,420,30859,FORWARD
3,1765269053.10466,252,420,30859,FORWARD
4,1765269053.127057,252,419,30902,FORWARD
5,1765269053.1519148,252,419,30902,FORWARD
6,1765269053.1741471,252,419,30902,FORWARD
7,1765269053.197775,252,419,30918,FORWARD
8,1765269053.220864,252,419,30919,FORWARD
9,1765269053.2423005,252,419,30939,FORWARD
10,1765269053.2640934,252,419,30987,FORWARD
11,1765269053.2849846,252,419,30983,FORWARD
12,1765269053.3065636,252,419,31058,FORWARD
13,1765269053.328325,252,419,31097,FORWARD
14,1765269053.3527668,252,419,31089,FORWARD
15,1765269053.37709,252,419,31089,FORWARD
16,1765269053.4030828,252,419,31089,FORWARD
17,1765269053.433327,252,419,31089,FORWARD
18,1765269053.4667072,252,419,31089,FORWARD
19,1765269053.499885,252,419,31126,FORWARD
20,1765269053.5386412,252,419,31177,FORWARD
21,1765269053.5782018,252,419,31189,FORWARD
22,1765269053.6059809,252,419,31197,FORWARD
23,1765269053.6435368,252,419,31197,FORWARD
24,1765269053.6734362,252,419,31205,FORWARD
25,1765269053.7104127,252,419,31224,FORWARD
26,1765269053.7414699,252,419,31279,FORWARD
27,1765269053.7719686,252,419,31278,FORWARD
28,1765269053.7987697,252,419,31316,FORWARD
29,1765269053.8231864,252,418,31386,FORWARD
30,1765269053.8478823,252,418,31378,FORWARD
31,1765269053.8714173,252,419,31371,FORWARD
32,1765269053.894033,252,419,31371,FORWARD
33,1765269053.920449,252,418,31383,FORWARD
34,1765269053.954619,252,418,31397,FORWARD
35,1765269053.979918,252,418,31418,FORWARD
36,1765269054.009015,252,419,31383,FORWARD
37,1765269054.0389183,252,418,31370,FORWARD
38,1765269054.0700624,252,418,31411,FORWARD
39,1765269054.1011765,252,418,31388,FORWARD
40,1765269054.129889,252,418,31416,FORWARD
41,1765269054.1579182,252,418,31423,FORWARD
42,1765269054.1846812,252,418,31423,FORWARD
43,1765269054.2107112,252,418,31435,FORWARD
44,1765269054.2404401,252,418,31467,FORWARD
45,1765269054.2697957,252,418,31500,FORWARD
46,1765269054.2943501,252,418,31500,FORWARD
47,1765269054.3200278,252,418,31486,FORWARD
48,1765269054.3493376,252,418,31500,FORWARD
49,1765269054.3805888,252,418,31537,FORWARD
50,1765269054.4089935,252,418,31615,FORWARD
51,1765269054.442585,252,418,31627,FORWARD
52,1765269054.4697363,252,418,31627,FORWARD
53,1765269054.4951587,252,418,31643,FORWARD
54,1765269054.5195386,252,418,31643,FORWARD
55,1765269054.5460782,252,418,31643,FORWARD
56,1765269054.5692506,252,418,31644,FORWARD
57,1765269054.595802,252,417,31639,FORWARD
58,1765269054.6203701,251,417,31803,FORWARD
59,1765269054.646024,251,417,31846,FORWARD
60,1765269054.6708457,251,417,31796,FORWARD
61,1765269054.7006533,251,417,31816,FORWARD
62,1765269054.7219696,251,417,32031,FORWARD
63,1765269054.7436047,251,417,32050,FORWARD
64,1765269054.7664115,251,417,32100,FORWARD
65,1765269054.7871068,251,417,32021,FORWARD
66,1765269054.8086653,250,417,32107,FORWARD
67,1765269054.8309507,250,417,32122,FORWARD
68,1765269054.8526163,250,416,32198,FORWARD
69,1765269054.8733423,250,416,32423,FORWARD
70,1765269054.894071,249,416,32485,FORWARD
71,1765269054.9154599,249,416,32763,FORWARD
72,1765269054.9347296,249,416,32798,FORWARD
73,1765269054.9568946,249,416,32738,FORWARD
74,1765269054.9765568,249,416,32803,FORWARD
75,1765269054.9961457,248,416,32923,FORWARD
76,1765269055.0157535,248,416,32878,FORWARD
77,1765269055.0368257,248,415,32841,FORWARD
78,1765269055.0594265,248,415,33187,FORWARD
79,1765269055.0806966,248,416,33285,FORWARD
80,1765269055.102468,247,416,33493,FORWARD
81,1765269055.122366,247,415,33516,FORWARD
82,1765269055.1431096,246,415,33762,FORWARD
83,1765269055.1643407,246,416,34059,FORWARD
84,1765269055.1870828,246,417,34144,FORWARD
85,1765269055.2090967,246,417,34326,FORWARD
86,1765269055.2301536,246,416,34187,FORWARD
87,1765269055.2517633,246,416,34333,FORWARD
88,1765269055.2727478,246,416,34427,FORWARD
89,1765269055.293334,245,416,34882,FORWARD
90,1765269055.3143268,245,417,34907,FORWARD
91,1765269055.333435,245,418,35148,FORWARD
