frame_idx,timestamp,cx,cy,area,command
0,1765269214.6799624,280,405,93829,FORWARD
1,1765269214.880241,280,405,93829,FORWARD
2,1765269214.9086561,280,405,93829,FORWARD
3,1765269214.9372163,280,405,93829,FORWARD
4,1765269214.962284,280,405,93829,FORWARD
5,1765269214.9890053,280,405,93796,FORWARD
6,1765269215.013436,280,405,93796,FORWARD
7,1765269215.038737,280,405,93731,FORWARD
8,1765269215.0605512,280,405,93626,FORWARD
9,1765269215.0894134,280,405,93511,FORWARD
10,1765269215.115195,280,405,93548,FORWARD
11,1765269215.1431525,280,405,93593,FORWARD
12,1765269215.169416,280,405,93616,FORWARD
13,1765269215.1969945,280,404,93601,FORWARD
14,1765269215.2222877,279,404,93550,FORWARD
15,1765269215.2459478,279,404,93454,FORWARD
16,1765269215.2781518,279,404,93329,FORWARD
17,1765269215.304557,279,404,93380,FORWARD
18,1765269215.3283312,279,404,93406,FORWARD
19,1765269215.3524332,279,404,93397,FORWARD
20,1765269215.3770392,279,404,93348,FORWARD
21,1765269215.399763,279,404,93277,FORWARD
22,1765269215.422648,278,405,93307,FORWARD
23,1765269215.4469335,278,404,93306,FORWARD
24,1765269215.4711726,278,405,93284,FORWARD
25,1765269215.4967136,278,405,93255,FORWARD
26,1765269215.5203538,278,405,93272,FORWARD
27,1765269215.5448463,278,405,93202,FORWARD
28,1765269215.5702932,278,405,93168,FORWARD
29,1765269215.5942218,277,405,93052,FORWARD
30,1765269215.6163402,277,406,93050,FORWARD
31,1765269215.6374571,277,406,92951,FORWARD
32,1765269215.6587903,277,406,93087,FORWARD
33,1765269215.6821058,277,406,92910,FORWARD
34,1765269215.7033513,277,406,92793,FORWARD
35,1765269215.7240844,276,406,92619,FORWARD
36,1765269215.7457604,276,406,92121,FORWARD
37,1765269215.7685745,275,405,92179,FORWARD
38,1765269215.793001,275,405,91969,FORWARD
39,1765269215.815818,274,406,92169,FORWARD
40,1765269215.8383915,273,405,92024,FORWARD
41,1765269215.8596132,272,404,91825,FORWARD
42,1765269215.881955,271,405,91848,FORWARD
43,1765269215.901992,271,405,91871,FORWARD
44,1765269215.9231303,270,405,91686,FORWARD
