frame_idx,timestamp,cx,cy,area,command
0,1764915930.1351495,-1,-1,0,SEARCH
1,1764915930.347533,-1,-1,0,SEARCH
2,1764915930.357246,-1,-1,0,SEARCH
3,1764915930.365787,-1,-1,0,SEARCH
4,1764915930.3774214,-1,-1,0,SEARCH
5,1764915930.3844376,-1,-1,0,SEARCH
6,1764915930.3965282,-1,-1,0,SEARCH
7,1764915930.404039,-1,-1,0,SEARCH
8,1764915930.412384,-1,-1,0,SEARCH
9,1764915930.4199648,-1,-1,0,SEARCH
10,1764915930.426639,-1,-1,0,SEARCH
11,1764915930.4341545,-1,-1,0,SEARCH
12,1764915930.4398034,-1,-1,0,SEARCH
13,1764915930.4471543,-1,-1,0,SEARCH
14,1764915930.454566,-1,-1,0,SEARCH
15,1764915930.4619756,-1,-1,0,SEARCH
16,1764915930.4691384,-1,-1,0,SEARCH
17,1764915930.4757848,-1,-1,0,SEARCH
18,1764915930.4824653,-1,-1,0,SEARCH
19,1764915930.4902976,-1,-1,0,SEARCH
20,1764915930.4978936,-1,-1,0,SEARCH
21,1764915930.5032642,-1,-1,0,SEARCH
22,1764915930.5084891,-1,-1,0,SEARCH
23,1764915930.5148182,-1,-1,0,SEARCH
24,1764915930.5201044,-1,-1,0,SEARCH
25,1764915930.5258203,-1,-1,0,SEARCH
26,1764915930.5341454,-1,-1,0,SEARCH
27,1764915930.5412502,-1,-1,0,SEARCH
28,1764915930.547665,-1,-1,0,SEARCH
29,1764915930.5538676,-1,-1,0,SEARCH
30,1764915930.5597875,-1,-1,0,SEARCH
31,1764915930.566664,-1,-1,0,SEARCH
32,1764915930.5719438,-1,-1,0,SEARCH
33,1764915930.5784156,-1,-1,0,SEARCH
34,1764915930.58535,-1,-1,0,SEARCH
35,1764915930.5910769,-1,-1,0,SEARCH
36,1764915930.5975168,-1,-1,0,SEARCH
37,1764915930.6032104,-1,-1,0,SEARCH
38,1764915930.6083145,-1,-1,0,SEARCH
39,1764915930.6139953,-1,-1,0,SEARCH
40,1764915930.6199799,-1,-1,0,SEARCH
41,1764915930.6259532,-1,-1,0,SEARCH
42,1764915930.6330023,-1,-1,0,SEARCH
43,1764915930.6413682,-1,-1,0,SEARCH
44,1764915930.6493533,-1,-1,0,SEARCH
45,1764915930.6580827,-1,-1,0,SEARCH
46,1764915930.6693668,-1,-1,0,SEARCH
47,1764915930.6749496,-1,-1,0,SEARCH
48,1764915930.6807234,-1,-1,0,SEARCH
49,1764915930.6866817,-1,-1,0,SEARCH
50,1764915930.6922903,-1,-1,0,SEARCH
51,1764915930.700731,-1,-1,0,SEARCH
52,1764915930.7084217,-1,-1,0,SEARCH
53,1764915930.7146938,-1,-1,0,SEARCH
54,1764915930.7205768,-1,-1,0,SEARCH
55,1764915930.7259486,-1,-1,0,SEARCH
56,1764915930.7327228,-1,-1,0,SEARCH
57,1764915930.7381353,-1,-1,0,SEARCH
58,1764915930.7442143,-1,-1,0,SEARCH
59,1764915930.7527049,-1,-1,0,SEARCH
60,1764915930.7589893,-1,-1,0,SEARCH
61,1764915930.7659502,-1,-1,0,SEARCH
62,1764915930.7731974,-1,-1,0,SEARCH
63,1764915930.7804382,316,259,663,TURN_RIGHT
64,1764915930.7882524,310,282,2850,TURN_RIGHT
65,1764915930.7957902,304,284,4939,TURN_RIGHT
66,1764915930.8032618,299,285,7024,TURN_RIGHT
67,1764915930.8096285,293,287,9005,TURN_RIGHT
68,1764915930.817852,288,289,10854,TURN_RIGHT
69,1764915930.824933,282,290,12722,TURN_RIGHT
70,1764915930.8314564,277,291,14647,TURN_RIGHT
71,1764915930.8383813,271,291,16583,TURN_RIGHT
72,1764915930.8443217,265,292,18583,TURN_RIGHT
73,1764915930.8523352,259,292,20564,TURN_RIGHT
74,1764915930.8600528,253,292,22404,TURN_RIGHT
75,1764915930.866921,245,293,24333,TURN_RIGHT
76,1764915930.8720973,238,293,26347,TURN_RIGHT
77,1764915930.877727,230,294,28174,TURN_RIGHT
78,1764915930.884917,217,293,28233,TURN_RIGHT
79,1764915930.892332,204,292,28195,TURN_RIGHT
80,1764915930.9010844,189,291,27477,FORWARD
81,1764915930.9082816,174,294,26247,FORWARD
82,1764915930.9146645,161,293,25945,FORWARD
83,1764915930.9228928,149,291,25586,FORWARD
84,1764915930.931313,137,288,25591,FORWARD
85,1764915930.939001,125,288,25370,TURN_LEFT
86,1764915930.944727,116,290,26094,TURN_LEFT
87,1764915930.9510667,109,296,25099,TURN_LEFT
88,1764915930.957462,104,307,21281,TURN_LEFT
89,1764915930.9639828,105,316,18530,TURN_LEFT
90,1764915930.9721372,119,322,12473,TURN_LEFT
91,1764915930.978556,133,329,6959,FORWARD
92,1764915930.9855988,155,322,313,FORWARD
93,1764915930.9913116,-1,-1,0,SEARCH
94,1764915930.997449,-1,-1,0,SEARCH
95,1764915931.0049694,-1,-1,0,SEARCH
96,1764915931.0114255,-1,-1,0,SEARCH
97,1764915931.0191457,-1,-1,0,SEARCH
98,1764915931.0252666,-1,-1,0,SEARCH
99,1764915931.0316873,-1,-1,0,SEARCH
100,1764915931.0379386,-1,-1,0,SEARCH
101,1764915931.0442026,-1,-1,0,SEARCH
102,1764915931.05036,-1,-1,0,SEARCH
103,1764915931.0569687,-1,-1,0,SEARCH
104,1764915931.0625427,-1,-1,0,SEARCH
105,1764915931.0676587,-1,-1,0,SEARCH
106,1764915931.0727394,-1,-1,0,SEARCH
107,1764915931.078518,-1,-1,0,SEARCH
108,1764915931.0846932,-1,-1,0,SEARCH
109,1764915931.091431,-1,-1,0,SEARCH
110,1764915931.0964043,-1,-1,0,SEARCH
111,1764915931.1014593,-1,-1,0,SEARCH
112,1764915931.107268,-1,-1,0,SEARCH
113,1764915931.1117485,-1,-1,0,SEARCH
