frame_idx,timestamp,cx_det,cy_det,confidence,command_det
0,1765269638.0578232,381,617,0.99998,FORWARD
1,1765269638.2838914,381,617,0.99998,FORWARD
2,1765269638.3212368,381,617,0.99997985,FORWARD
3,1765269638.353619,381,618,0.99997985,FORWARD
4,1765269638.385221,381,618,0.99997985,FORWARD
5,1765269638.4143765,381,618,0.99998,FORWARD
6,1765269638.4466004,381,618,0.99997973,FORWARD
7,1765269638.475039,381,618,0.9999802,FORWARD
8,1765269638.50482,381,618,0.99998057,FORWARD
9,1765269638.5328002,381,618,0.9999802,FORWARD
10,1765269638.5627878,381,617,0.9999807,FORWARD
11,1765269638.5958462,382,617,0.9999776,FORWARD
12,1765269638.628678,381,617,0.99997795,FORWARD
13,1765269638.6741188,381,617,0.9999788,FORWARD
14,1765269638.7051523,381,618,0.99997973,FORWARD
15,1765269638.7415683,381,618,0.9999782,FORWARD
16,1765269638.7730224,380,617,0.99998164,FORWARD
17,1765269638.801023,380,617,0.99998415,FORWARD
18,1765269638.8323374,380,618,0.99998116,FORWARD
19,1765269638.8618338,380,617,0.9999769,FORWARD
20,1765269638.9031196,380,618,0.9999771,FORWARD
21,1765269638.9360268,380,617,0.9999703,FORWARD
22,1765269638.9728215,379,617,0.9999751,FORWARD
23,1765269639.0130646,378,616,0.9999726,FORWARD
24,1765269639.0400896,377,618,0.99997056,FORWARD
25,1765269639.0710797,377,618,0.99997616,FORWARD
26,1765269639.0976012,376,619,0.99996185,FORWARD
27,1765269639.1252995,377,620,0.9999654,FORWARD
28,1765269639.1527712,375,621,0.9999573,FORWARD
29,1765269639.1845143,372,620,0.9999474,FORWARD
30,1765269639.2216806,372,617,0.99994564,FORWARD
31,1765269639.2539833,372,616,0.99992955,FORWARD
32,1765269639.2871754,371,618,0.9999454,FORWARD
33,1765269639.3199415,370,617,0.9999578,FORWARD
34,1765269639.3508487,369,617,0.9999697,FORWARD
35,1765269639.3829293,364,618,0.99996066,FORWARD
36,1765269639.4122741,363,618,0.9999795,FORWARD
37,1765269639.446147,360,621,0.999977,FORWARD
38,1765269639.4790072,358,618,0.9999738,FORWARD
39,1765269639.5092623,356,620,0.9999689,FORWARD
40,1765269639.5411925,352,624,0.9999244,FORWARD
41,1765269639.5716486,350,622,0.9999436,FORWARD
42,1765269639.6004403,347,622,0.999933,FORWARD
43,1765269639.6316752,342,623,0.99994075,FORWARD
44,1765269639.6605992,341,625,0.9999691,FORWARD
45,1765269639.6935077,336,624,0.9999589,FORWARD
46,1765269639.723442,335,625,0.99996567,FORWARD
47,1765269639.7588701,332,622,0.9999758,FORWARD
48,1765269639.78855,330,620,0.9999759,FORWARD
49,1765269639.8186634,328,617,0.9999751,FORWARD
50,1765269639.8503234,327,619,0.9999808,FORWARD
51,1765269639.8824239,323,616,0.9999906,FORWARD
52,1765269639.9137223,319,618,0.9999888,FORWARD
53,1765269639.9453413,314,617,0.99997616,FORWARD
54,1765269639.977105,309,616,0.99996746,FORWARD
55,1765269640.0075574,310,618,0.99993443,FORWARD
56,1765269640.0398517,303,619,0.99992037,FORWARD
57,1765269640.0715482,299,625,0.9998416,FORWARD
58,1765269640.1028063,295,624,0.9997825,FORWARD
59,1765269640.1334856,292,623,0.999785,FORWARD
60,1765269640.1635702,288,622,0.9997279,FORWARD
61,1765269640.1946824,286,621,0.999765,TURN_LEFT
62,1765269640.225656,277,627,0.99863344,TURN_LEFT
63,1765269640.2596726,277,628,0.99893826,TURN_LEFT
64,1765269640.2911756,256,613,0.99194884,TURN_LEFT
65,1765269640.3240893,247,614,0.9839004,TURN_LEFT
66,1765269640.35562,245,617,0.95028377,TURN_LEFT
67,1765269640.3867455,245,633,0.960838,TURN_LEFT
68,1765269640.4189174,242,632,0.9446755,TURN_LEFT
69,1765269640.4472013,238,638,0.9842951,TURN_LEFT
