frame_idx,timestamp,cx_det,cy_det,confidence,command_det
0,1765268991.3430066,366,633,0.99942315,FORWARD
1,1765268992.0855489,366,633,0.9994326,FORWARD
2,1765268992.122527,366,632,0.999468,FORWARD
3,1765268992.1596298,366,633,0.99949443,FORWARD
4,1765268992.1898935,365,635,0.99952376,FORWARD
5,1765268992.2249806,365,634,0.9995252,FORWARD
6,1765268992.2546053,365,637,0.99944717,FORWARD
7,1765268992.2890122,365,634,0.9994703,FORWARD
8,1765268992.3269296,365,629,0.99939406,FORWARD
9,1765268992.372566,365,629,0.9994456,FORWARD
10,1765268992.4075034,366,623,0.99947923,FORWARD
11,1765268992.4448462,365,627,0.9995234,FORWARD
12,1765268992.4864097,365,625,0.9995214,FORWARD
13,1765268992.5313091,365,620,0.9994037,FORWARD
14,1765268992.5720825,365,617,0.9995055,FORWARD
15,1765268992.6183646,365,608,0.9994974,FORWARD
16,1765268992.664292,364,613,0.9996184,FORWARD
17,1765268992.7044797,364,618,0.9995084,FORWARD
18,1765268992.7459326,365,616,0.9994702,FORWARD
19,1765268992.7853658,365,617,0.9994128,FORWARD
20,1765268992.8307486,365,618,0.99940336,FORWARD
21,1765268992.8709226,365,614,0.99953115,FORWARD
22,1765268992.9115517,365,614,0.99937445,FORWARD
23,1765268992.9580286,365,612,0.99942064,FORWARD
24,1765268992.99001,364,610,0.9994549,FORWARD
25,1765268993.0272875,363,605,0.99928194,FORWARD
26,1765268993.068288,361,610,0.99858665,FORWARD
27,1765268993.1175036,360,611,0.99876785,FORWARD
28,1765268993.1671882,360,618,0.9986865,FORWARD
29,1765268993.2087564,359,620,0.99778914,FORWARD
30,1765268993.2442014,357,628,0.9981598,FORWARD
31,1765268993.2810168,355,618,0.998181,FORWARD
32,1765268993.3167725,350,617,0.9979578,FORWARD
33,1765268993.358773,348,625,0.9962437,FORWARD
34,1765268993.3926377,347,629,0.9968566,FORWARD
35,1765268993.4187996,342,616,0.9969015,FORWARD
36,1765268993.4479284,336,626,0.9947529,FORWARD
37,1765268993.482679,331,621,0.99586666,FORWARD
38,1765268993.5115886,332,624,0.9951284,FORWARD
39,1765268993.5396557,325,610,0.99532384,FORWARD
40,1765268993.5674663,322,616,0.9915651,FORWARD
41,1765268993.6016712,321,629,0.9944935,FORWARD
42,1765268993.6294181,318,634,0.9954253,FORWARD
43,1765268993.6565747,321,629,0.9928716,FORWARD
44,1765268993.6851103,326,616,0.9928524,FORWARD
45,1765268993.711953,317,624,0.99541783,FORWARD
46,1765268993.7391808,334,642,0.98339415,FORWARD
47,1765268993.7670927,320,637,0.9859591,FORWARD
48,1765268993.794029,315,633,0.9883089,FORWARD
49,1765268993.8274345,311,631,0.99371994,FORWARD
50,1765268993.8552082,315,628,0.99017006,FORWARD
51,1765268993.8819578,313,628,0.9926795,FORWARD
52,1765268993.9101202,327,629,0.9707507,FORWARD
53,1765268993.940272,300,642,0.9813976,FORWARD
54,1765268993.966944,293,642,0.95931464,FORWARD
55,1765268993.9962103,309,657,0.9482461,FORWARD
56,1765268994.0262775,303,646,0.9246449,FORWARD
57,1765268994.055375,298,648,0.94240457,FORWARD
58,1765268994.082673,303,648,0.9503785,FORWARD
59,1765268994.1141741,307,650,0.944348,FORWARD
60,1765268994.142549,300,650,0.897517,FORWARD
61,1765268994.1751258,254,608,0.9100669,TURN_LEFT
62,1765268994.2091331,246,618,0.84540397,TURN_LEFT
63,1765268994.2376838,290,649,0.8271668,FORWARD
64,1765268994.2654004,296,653,0.8882002,FORWARD
65,1765268994.2921045,293,664,0.7710023,FORWARD
66,1765268994.319018,295,661,0.8192673,FORWARD
