frame_idx,timestamp,cx_det,cy_det,confidence,command_det
0,1765269052.8466558,248,397,0.99960583,FORWARD
1,1765269053.0481858,248,397,0.99960583,FORWARD
2,1765269053.0788517,248,397,0.99960583,FORWARD
3,1765269053.10466,248,397,0.99960583,FORWARD
4,1765269053.127057,248,397,0.99960774,FORWARD
5,1765269053.1519148,248,397,0.99961084,FORWARD
6,1765269053.1741471,248,397,0.9996394,FORWARD
7,1765269053.197775,248,397,0.99961156,FORWARD
8,1765269053.220864,248,396,0.9996202,FORWARD
9,1765269053.2423005,248,396,0.9995353,FORWARD
10,1765269053.2640934,248,396,0.9994991,FORWARD
11,1765269053.2849846,248,396,0.9994999,FORWARD
12,1765269053.3065636,248,396,0.9995726,FORWARD
13,1765269053.328325,248,396,0.9995222,FORWARD
14,1765269053.3527668,248,396,0.9994893,FORWARD
15,1765269053.37709,248,396,0.9994886,FORWARD
16,1765269053.4030828,248,395,0.9995166,FORWARD
17,1765269053.433327,248,395,0.9995148,FORWARD
18,1765269053.4667072,248,395,0.9995034,FORWARD
19,1765269053.499885,248,396,0.99956757,FORWARD
20,1765269053.5386412,248,396,0.99955744,FORWARD
21,1765269053.5782018,248,396,0.99955636,FORWARD
22,1765269053.6059809,248,395,0.9995553,FORWARD
23,1765269053.6435368,248,395,0.9995597,FORWARD
24,1765269053.6734362,248,396,0.99957424,FORWARD
25,1765269053.7104127,248,396,0.99958867,FORWARD
26,1765269053.7414699,248,396,0.9995708,FORWARD
27,1765269053.7719686,248,395,0.9995449,FORWARD
28,1765269053.7987697,248,396,0.9995437,FORWARD
29,1765269053.8231864,248,396,0.9994854,FORWARD
30,1765269053.8478823,248,396,0.99950206,FORWARD
31,1765269053.8714173,249,396,0.9994899,FORWARD
32,1765269053.894033,249,396,0.99950385,FORWARD
33,1765269053.920449,248,396,0.9995371,FORWARD
34,1765269053.954619,249,396,0.99953425,FORWARD
35,1765269053.979918,249,396,0.99952877,FORWARD
36,1765269054.009015,249,396,0.9995351,FORWARD
37,1765269054.0389183,248,396,0.9995371,FORWARD
38,1765269054.0700624,248,396,0.99951005,FORWARD
39,1765269054.1011765,249,395,0.99949956,FORWARD
40,1765269054.129889,249,396,0.9993622,FORWARD
41,1765269054.1579182,249,396,0.9994142,FORWARD
42,1765269054.1846812,249,395,0.99934834,FORWARD
43,1765269054.2107112,249,395,0.9994019,FORWARD
44,1765269054.2404401,248,396,0.99953306,FORWARD
45,1765269054.2697957,248,396,0.99947613,FORWARD
46,1765269054.2943501,248,395,0.99947804,FORWARD
47,1765269054.3200278,248,396,0.9995745,FORWARD
48,1765269054.3493376,248,395,0.9996232,FORWARD
49,1765269054.3805888,248,395,0.99961674,FORWARD
50,1765269054.4089935,248,395,0.99962974,FORWARD
51,1765269054.442585,248,395,0.99965584,FORWARD
52,1765269054.4697363,248,396,0.9995926,FORWARD
53,1765269054.4951587,248,395,0.9995759,FORWARD
54,1765269054.5195386,248,395,0.99957806,FORWARD
55,1765269054.5460782,248,395,0.9995783,FORWARD
56,1765269054.5692506,248,395,0.9995726,FORWARD
57,1765269054.595802,248,395,0.99949706,FORWARD
58,1765269054.6203701,247,394,0.99941754,FORWARD
59,1765269054.646024,247,394,0.99943775,FORWARD
60,1765269054.6708457,247,393,0.9993548,FORWARD
61,1765269054.7006533,247,393,0.99926275,FORWARD
62,1765269054.7219696,247,394,0.9992716,FORWARD
63,1765269054.7436047,247,393,0.9991672,FORWARD
64,1765269054.7664115,247,395,0.99927264,FORWARD
65,1765269054.7871068,247,395,0.9991904,FORWARD
66,1765269054.8086653,246,394,0.99909735,FORWARD
67,1765269054.8309507,247,394,0.9994466,FORWARD
68,1765269054.8526163,246,394,0.99935716,FORWARD
69,1765269054.8733423,247,393,0.99931765,FORWARD
70,1765269054.894071,247,393,0.99941206,FORWARD
71,1765269054.9154599,247,390,0.99926406,FORWARD
72,1765269054.9347296,247,390,0.99912673,FORWARD
73,1765269054.9568946,246,390,0.999084,FORWARD
74,1765269054.9765568,245,393,0.9991762,FORWARD
75,1765269054.9961457,244,394,0.9992436,FORWARD
76,1765269055.0157535,244,392,0.9994702,FORWARD
77,1765269055.0368257,244,392,0.99947697,FORWARD
78,1765269055.0594265,245,390,0.9995915,FORWARD
79,1765269055.0806966,244,393,0.99891496,FORWARD
80,1765269055.102468,243,390,0.99915683,FORWARD
81,1765269055.122366,242,390,0.99917173,FORWARD
82,1765269055.1431096,240,387,0.999542,FORWARD
83,1765269055.1643407,242,390,0.9978181,FORWARD
84,1765269055.1870828,242,392,0.9969874,FORWARD
85,1765269055.2090967,242,390,0.9987451,FORWARD
86,1765269055.2301536,240,395,0.99843377,FORWARD
87,1765269055.2517633,241,393,0.9979522,FORWARD
88,1765269055.2727478,240,394,0.99802893,FORWARD
89,1765269055.293334,240,394,0.9980292,FORWARD
90,1765269055.3143268,238,394,0.99928623,FORWARD
91,1765269055.333435,238,393,0.998514,FORWARD
92,1765269055.3546255,238,391,0.99808735,FORWARD
93,1765269055.3789518,238,392,0.9992316,FORWARD
94,1765269055.4007952,238,393,0.99948776,FORWARD
95,1765269055.4229326,236,391,0.9994974,FORWARD
96,1765269055.4448187,236,393,0.99891305,FORWARD
97,1765269055.4695392,235,393,0.9980762,FORWARD
98,1765269055.493338,235,393,0.9992459,FORWARD
99,1765269055.516727,235,392,0.9995028,FORWARD
100,1765269055.5413685,234,393,0.9980889,FORWARD
101,1765269055.5675247,234,392,0.9992768,FORWARD
102,1765269055.59297,234,394,0.99838114,FORWARD
103,1765269055.6137457,233,407,0.9879419,FORWARD
104,1765269055.6409504,235,409,0.9732842,FORWARD
105,1765269055.6637378,233,402,0.96498305,FORWARD
106,1765269055.6838198,233,402,0.9732555,FORWARD
107,1765269055.7055273,232,404,0.96538794,FORWARD
108,1765269055.7259853,232,403,0.9978678,FORWARD
109,1765269055.7510667,231,400,0.99858826,FORWARD
110,1765269055.7711287,231,399,0.99922097,FORWARD
111,1765269055.7904603,230,405,0.9953941,FORWARD
112,1765269055.8091466,229,413,0.97663045,FORWARD
113,1765269055.8327763,229,429,0.9749971,FORWARD
114,1765269055.8549397,229,418,0.9734171,FORWARD
115,1765269055.8752813,229,408,0.9874328,FORWARD
116,1765269055.8974516,226,409,0.9967714,FORWARD
117,1765269055.91878,227,404,0.9989981,FORWARD
118,1765269055.9382706,226,404,0.999278,FORWARD
119,1765269055.9587965,225,408,0.99545234,FORWARD
120,1765269055.9806218,226,408,0.99749494,FORWARD
121,1765269056.0021045,227,406,0.99183965,FORWARD
122,1765269056.0222783,225,405,0.99930227,FORWARD
123,1765269056.0432725,224,407,0.9984256,FORWARD
124,1765269056.0649302,223,405,0.99855775,FORWARD
125,1765269056.0852804,223,408,0.9983789,FORWARD
126,1765269056.105432,223,410,0.99661106,FORWARD
127,1765269056.127515,222,403,0.9993975,FORWARD
128,1765269056.148572,222,404,0.999074,FORWARD
129,1765269056.168996,224,401,0.99786204,FORWARD
130,1765269056.1886978,223,407,0.9989561,FORWARD
131,1765269056.2112803,222,405,0.9989819,FORWARD
132,1765269056.2333326,223,406,0.9987363,FORWARD
133,1765269056.254005,222,423,0.99523586,FORWARD
134,1765269056.2746625,222,427,0.9944336,FORWARD
135,1765269056.296561,221,439,0.9951102,FORWARD
136,1765269056.3170912,222,424,0.996582,FORWARD
137,1765269056.3381286,222,428,0.9971053,FORWARD
138,1765269056.3582735,222,415,0.99910814,FORWARD
139,1765269056.3793795,222,417,0.998546,FORWARD
140,1765269056.4016564,222,413,0.99900717,FORWARD
141,1765269056.4260895,222,417,0.9988961,FORWARD
142,1765269056.4486632,222,410,0.9994585,FORWARD
143,1765269056.4726737,223,402,0.99980515,FORWARD
