frame_idx,timestamp,cx_det,cy_det,confidence,command_det
0,1765269214.6799624,268,381,0.9999175,FORWARD
1,1765269214.880241,268,381,0.9999175,FORWARD
2,1765269214.9086561,268,381,0.9999175,FORWARD
3,1765269214.9372163,268,381,0.9999174,FORWARD
4,1765269214.962284,268,381,0.9999174,FORWARD
5,1765269214.9890053,268,382,0.9999114,FORWARD
6,1765269215.013436,268,381,0.99990785,FORWARD
7,1765269215.038737,268,381,0.999905,FORWARD
8,1765269215.0605512,268,382,0.99990714,FORWARD
9,1765269215.0894134,267,381,0.99990714,FORWARD
10,1765269215.115195,267,381,0.9999124,FORWARD
11,1765269215.1431525,267,380,0.999908,FORWARD
12,1765269215.169416,268,380,0.99991167,FORWARD
13,1765269215.1969945,267,379,0.9999082,FORWARD
14,1765269215.2222877,266,379,0.9999033,FORWARD
15,1765269215.2459478,264,376,0.99992025,FORWARD
16,1765269215.2781518,264,376,0.9999167,FORWARD
17,1765269215.304557,263,378,0.99989784,FORWARD
18,1765269215.3283312,264,381,0.9999025,FORWARD
19,1765269215.3524332,264,380,0.99989784,FORWARD
20,1765269215.3770392,263,380,0.99988246,FORWARD
21,1765269215.399763,263,381,0.9998964,FORWARD
22,1765269215.422648,263,385,0.9999106,FORWARD
23,1765269215.4469335,262,380,0.99990296,FORWARD
24,1765269215.4711726,262,383,0.99990237,FORWARD
25,1765269215.4967136,262,378,0.99993,FORWARD
26,1765269215.5203538,262,381,0.9999237,FORWARD
27,1765269215.5448463,263,379,0.99992204,FORWARD
28,1765269215.5702932,264,383,0.9999293,FORWARD
29,1765269215.5942218,264,383,0.99990225,FORWARD
30,1765269215.6163402,263,388,0.99987376,FORWARD
31,1765269215.6374571,262,373,0.9999162,FORWARD
32,1765269215.6587903,262,374,0.9999337,FORWARD
33,1765269215.6821058,262,374,0.999926,FORWARD
34,1765269215.7033513,261,373,0.99989593,FORWARD
35,1765269215.7240844,261,374,0.99991524,FORWARD
36,1765269215.7457604,260,374,0.9999285,FORWARD
37,1765269215.7685745,261,374,0.9999291,FORWARD
38,1765269215.793001,261,375,0.9999379,FORWARD
39,1765269215.815818,259,371,0.99993634,FORWARD
40,1765269215.8383915,259,371,0.99992025,FORWARD
41,1765269215.8596132,260,383,0.99991584,FORWARD
42,1765269215.881955,260,364,0.99991274,FORWARD
43,1765269215.901992,259,367,0.99993646,FORWARD
44,1765269215.9231303,258,369,0.99991035,FORWARD
45,1765269215.9460573,255,368,0.99995637,FORWARD
