frame_idx,timestamp,cx,cy,area,command
0,1764915891.2909663,-1,-1,0,SEARCH
1,1764915891.4768097,-1,-1,0,SEARCH
2,1764915891.4848442,-1,-1,0,SEARCH
3,1764915891.4924362,-1,-1,0,SEARCH
4,1764915891.4987543,-1,-1,0,SEARCH
5,1764915891.5062861,-1,-1,0,SEARCH
6,1764915891.516056,-1,-1,0,SEARCH
7,1764915891.5240128,-1,-1,0,SEARCH
8,1764915891.5320919,-1,-1,0,SEARCH
9,1764915891.5400712,-1,-1,0,SEARCH
10,1764915891.5470035,-1,-1,0,SEARCH
11,1764915891.556377,-1,-1,0,SEARCH
12,1764915891.5642807,-1,-1,0,SEARCH
13,1764915891.5713034,-1,-1,0,SEARCH
14,1764915891.5791829,-1,-1,0,SEARCH
15,1764915891.587118,-1,-1,0,SEARCH
16,1764915891.5964189,-1,-1,0,SEARCH
17,1764915891.6036792,-1,-1,0,SEARCH
18,1764915891.6117835,-1,-1,0,SEARCH
19,1764915891.6210675,-1,-1,0,SEARCH
20,1764915891.6319444,-1,-1,0,SEARCH
21,1764915891.640879,-1,-1,0,SEARCH
22,1764915891.648884,167,319,225,FORWARD
23,1764915891.6596253,195,236,63,SEARCH
24,1764915891.6675904,109,318,154,SEARCH
25,1764915891.675143,158,331,2236,FORWARD
26,1764915891.683271,150,305,13553,FORWARD
27,1764915891.6922646,151,309,13033,FORWARD
28,1764915891.701154,145,315,13051,FORWARD
29,1764915891.7094426,166,284,24916,FORWARD
30,1764915891.717688,175,287,29375,FORWARD
31,1764915891.7261841,178,285,29507,FORWARD
32,1764915891.7360537,181,285,29141,FORWARD
33,1764915891.7448652,186,287,30131,FORWARD
34,1764915891.751244,188,285,29897,FORWARD
35,1764915891.7582257,188,284,29317,FORWARD
36,1764915891.7647169,190,283,29231,FORWARD
37,1764915891.7738545,191,282,29114,FORWARD
38,1764915891.7818208,192,282,28974,FORWARD
39,1764915891.7871406,192,281,28810,FORWARD
40,1764915891.7941544,193,280,28657,TURN_RIGHT
41,1764915891.7994866,193,280,28570,TURN_RIGHT
42,1764915891.8068025,193,280,28772,TURN_RIGHT
43,1764915891.814059,192,280,29254,FORWARD
44,1764915891.8200226,189,280,30459,FORWARD
45,1764915891.828545,187,281,31771,FORWARD
46,1764915891.8342557,184,282,33573,FORWARD
47,1764915891.8409212,180,283,36172,FORWARD
48,1764915891.8473556,176,286,38857,FORWARD
49,1764915891.8538747,173,289,41440,FORWARD
50,1764915891.8628635,169,293,44534,FORWARD
51,1764915891.8683832,165,296,48002,FORWARD
52,1764915891.875988,162,300,51354,FORWARD
53,1764915891.8817592,159,303,55127,FORWARD
54,1764915891.8876228,157,304,59770,FORWARD
55,1764915891.8961494,156,307,64976,FORWARD
56,1764915891.9024756,154,307,70952,FORWARD
57,1764915891.9101715,151,308,78265,FORWARD
58,1764915891.9178133,149,309,86289,FORWARD
59,1764915891.9247482,150,309,93357,FORWARD
60,1764915891.9312158,152,308,100015,FORWARD
61,1764915891.9377532,155,306,107524,FORWARD
62,1764915891.9450102,156,306,113446,FORWARD
63,1764915891.9512315,156,303,119941,FORWARD
64,1764915891.9595125,157,302,127499,FORWARD
65,1764915891.966506,157,300,135659,FORWARD
66,1764915891.9748864,157,298,143519,FORWARD
67,1764915891.9823718,158,296,151474,FORWARD
68,1764915891.989831,158,294,160554,FORWARD
69,1764915891.997102,158,291,170188,FORWARD
70,1764915892.0061889,158,286,178872,FORWARD
71,1764915892.0156956,159,283,180873,FORWARD
72,1764915892.025751,159,283,180873,FORWARD
73,1764915892.0356286,159,283,180873,FORWARD
74,1764915892.0443838,159,283,180873,FORWARD
75,1764915892.0514438,159,283,180873,FORWARD
76,1764915892.0600839,159,283,180873,FORWARD
77,1764915892.0673373,159,283,180873,FORWARD
78,1764915892.075986,159,283,180873,FORWARD
79,1764915892.0826511,159,283,180873,FORWARD
80,1764915892.08903,159,283,180873,FORWARD
81,1764915892.097507,159,283,180873,FORWARD
82,1764915892.1049166,159,283,180873,FORWARD
83,1764915892.1145663,159,283,180873,FORWARD
84,1764915892.121148,159,283,180873,FORWARD
85,1764915892.1291592,159,283,180873,FORWARD
86,1764915892.1359918,159,283,180873,FORWARD
87,1764915892.1450396,159,283,180873,FORWARD
88,1764915892.151938,159,283,180873,FORWARD
89,1764915892.1592906,159,283,180873,FORWARD
90,1764915892.1662672,159,283,180873,FORWARD
91,1764915892.1732128,159,283,180873,FORWARD
92,1764915892.1818202,159,283,180873,FORWARD
93,1764915892.188402,159,283,180873,FORWARD
94,1764915892.1967041,159,283,180873,FORWARD
95,1764915892.203343,159,283,180873,FORWARD
96,1764915892.2105827,159,283,180873,FORWARD
97,1764915892.2178028,159,283,180873,FORWARD
98,1764915892.2256696,159,283,180873,FORWARD
99,1764915892.2331471,157,279,178354,FORWARD
100,1764915892.241265,156,272,173706,FORWARD
101,1764915892.248632,153,272,167482,FORWARD
102,1764915892.2556202,155,264,149749,FORWARD
103,1764915892.2637923,154,267,139228,FORWARD
104,1764915892.2713037,149,271,123729,FORWARD
105,1764915892.280468,144,270,108502,FORWARD
106,1764915892.2881577,140,272,97563,FORWARD
107,1764915892.2961984,137,267,87315,FORWARD
108,1764915892.303392,130,266,77214,FORWARD
109,1764915892.3121743,124,270,70129,TURN_LEFT
110,1764915892.3202128,117,267,52150,TURN_LEFT
111,1764915892.3287916,126,266,38547,TURN_LEFT
112,1764915892.3358786,126,264,29139,TURN_LEFT
113,1764915892.3433363,130,275,15807,FORWARD
114,1764915892.3521366,114,344,3362,TURN_LEFT
115,1764915892.3599463,130,328,997,FORWARD
116,1764915892.3681996,129,329,637,FORWARD
117,1764915892.3757107,-1,-1,0,SEARCH
118,1764915892.3831432,-1,-1,0,SEARCH
119,1764915892.3896859,151,323,105,SEARCH
120,1764915892.399315,168,269,281,FORWARD
121,1764915892.4068036,143,304,16158,FORWARD
122,1764915892.4158556,155,300,19814,FORWARD
123,1764915892.4232252,156,303,20944,FORWARD
124,1764915892.4316626,159,302,21832,FORWARD
125,1764915892.438801,164,301,24090,FORWARD
126,1764915892.4474523,177,295,30974,FORWARD
127,1764915892.453998,183,295,32849,FORWARD
128,1764915892.4627461,184,293,31969,FORWARD
129,1764915892.4698367,186,294,33088,FORWARD
130,1764915892.4775252,187,293,32773,FORWARD
131,1764915892.4843466,188,292,32660,FORWARD
132,1764915892.4900455,188,290,32621,FORWARD
133,1764915892.496808,188,289,32819,FORWARD
134,1764915892.5023406,188,288,33159,FORWARD
135,1764915892.5092468,188,288,34040,FORWARD
136,1764915892.518244,187,288,34913,FORWARD
137,1764915892.5243454,186,288,36328,FORWARD
138,1764915892.531971,184,287,38021,FORWARD
139,1764915892.5381367,181,288,39990,FORWARD
140,1764915892.5455422,178,289,42429,FORWARD
141,1764915892.5526276,174,290,45123,FORWARD
142,1764915892.6725125,174,290,45123,FORWARD
143,1764915892.6781337,174,290,45123,FORWARD
144,1764915892.6838686,174,290,45123,FORWARD
145,1764915892.6911378,174,290,45123,FORWARD
146,1764915892.697756,174,290,45123,FORWARD
147,1764915892.7034109,174,290,45123,FORWARD
148,1764915892.7085755,174,290,45123,FORWARD
149,1764915892.7137141,174,290,45123,FORWARD
150,1764915892.7188327,174,290,45123,FORWARD
151,1764915892.7235634,174,290,45123,FORWARD
152,1764915892.7299266,174,290,45123,FORWARD
153,1764915892.7350893,174,290,45123,FORWARD
154,1764915892.740068,174,290,45123,FORWARD
155,1764915892.7459857,174,290,45123,FORWARD
156,1764915892.750894,174,290,45123,FORWARD
157,1764915892.7564602,174,290,45123,FORWARD
158,1764915892.7625215,174,290,45123,FORWARD
159,1764915892.7675443,174,290,45123,FORWARD
160,1764915892.7728064,174,290,45123,FORWARD
161,1764915892.7799964,174,290,45123,FORWARD
162,1764915892.785625,174,290,45123,FORWARD
163,1764915892.7907,174,290,45123,FORWARD
164,1764915892.7970998,174,290,45123,FORWARD
165,1764915892.8027935,174,290,45123,FORWARD
166,1764915892.808197,174,290,45123,FORWARD
167,1764915892.814285,174,290,45123,FORWARD
168,1764915892.819634,174,290,45123,FORWARD
169,1764915892.8255143,174,290,45123,FORWARD
170,1764915892.8310447,174,290,45123,FORWARD
171,1764915892.8359756,174,290,45123,FORWARD
172,1764915892.8410146,174,290,45123,FORWARD
173,1764915892.8463469,174,290,45123,FORWARD
174,1764915892.8510244,174,290,45123,FORWARD
175,1764915892.8559494,174,290,45123,FORWARD
176,1764915892.8613186,174,290,45123,FORWARD
177,1764915892.8674555,174,290,45123,FORWARD
178,1764915892.8729513,174,290,45123,FORWARD
179,1764915892.879711,174,290,45123,FORWARD
180,1764915892.885273,174,290,45123,FORWARD
181,1764915892.8910484,174,290,45123,FORWARD
182,1764915892.8966374,174,290,45123,FORWARD
183,1764915892.9019866,174,290,45123,FORWARD
184,1764915892.907591,174,290,45123,FORWARD
185,1764915892.9130223,174,290,45123,FORWARD
186,1764915892.918044,174,290,45123,FORWARD
187,1764915892.9234788,174,290,45123,FORWARD
188,1764915892.9301558,174,290,45123,FORWARD
189,1764915892.935569,174,290,45123,FORWARD
190,1764915892.9412012,174,290,45123,FORWARD
191,1764915892.946893,174,290,45123,FORWARD
192,1764915892.952141,174,290,45123,FORWARD
193,1764915892.958054,174,290,45123,FORWARD
194,1764915892.9636052,174,290,45123,FORWARD
195,1764915892.968857,174,290,45123,FORWARD
196,1764915892.9742005,174,290,45123,FORWARD
197,1764915892.9798567,174,290,45123,FORWARD
198,1764915892.9845264,174,290,45123,FORWARD
199,1764915892.9907746,174,290,45123,FORWARD
200,1764915892.9968398,174,290,45123,FORWARD
201,1764915893.0021372,174,290,45123,FORWARD
202,1764915893.0074704,174,290,45123,FORWARD
203,1764915893.0144715,174,290,45123,FORWARD
204,1764915893.0198798,174,290,45123,FORWARD
205,1764915893.02545,174,290,45123,FORWARD
206,1764915893.0313063,174,290,45123,FORWARD
207,1764915893.0362859,174,290,45123,FORWARD
208,1764915893.0417435,174,290,45123,FORWARD
209,1764915893.047601,174,290,45123,FORWARD
210,1764915893.0528312,174,290,45123,FORWARD
211,1764915893.0582898,174,290,45123,FORWARD
212,1764915893.064326,174,290,45123,FORWARD
213,1764915893.0695984,174,290,45123,FORWARD
214,1764915893.0745392,174,290,45123,FORWARD
215,1764915893.080058,174,290,45123,FORWARD
216,1764915893.0850983,174,290,45123,FORWARD
217,1764915893.090445,174,290,45123,FORWARD
