frame_idx,timestamp,cx,cy,area,command
0,1764914981.5272024,158,314,30991,FORWARD
1,1764914981.654721,158,314,31092,FORWARD
2,1764914981.6614616,158,313,31224,FORWARD
3,1764914981.6681316,158,313,31312,FORWARD
4,1764914981.674212,158,312,31256,FORWARD
5,1764914981.681182,158,312,31098,FORWARD
6,1764914981.6897845,158,312,31019,FORWARD
7,1764914981.698784,158,311,31128,FORWARD
8,1764914981.7062414,157,311,31176,FORWARD
9,1764914981.7149632,157,310,31265,FORWARD
10,1764914981.7221208,156,310,31170,FORWARD
11,1764914981.7331028,155,310,31158,FORWARD
12,1764914981.74091,155,310,31280,FORWARD
13,1764914981.7476542,154,310,31206,FORWARD
14,1764914981.7549794,153,310,31371,FORWARD
15,1764914981.7623053,151,310,31270,FORWARD
16,1764914981.770363,150,311,31234,FORWARD
17,1764914981.778927,149,311,31454,FORWARD
18,1764914981.786452,148,312,31152,FORWARD
19,1764914981.7935948,147,312,31267,FORWARD
20,1764914981.8008091,147,312,31331,FORWARD
21,1764914981.8082232,146,313,30919,FORWARD
22,1764914981.8155146,143,315,29962,FORWARD
23,1764914981.822422,140,317,28431,FORWARD
24,1764914981.8290827,138,318,27227,FORWARD
25,1764914981.8359787,138,321,26469,FORWARD
26,1764914981.8433173,138,323,25556,FORWARD
27,1764914981.851529,140,324,25491,FORWARD
28,1764914981.8595414,142,323,25809,FORWARD
29,1764914981.866515,143,323,26165,FORWARD
30,1764914981.8747709,145,322,26641,FORWARD
31,1764914981.8815272,146,321,26503,FORWARD
32,1764914981.889679,147,321,26666,FORWARD
33,1764914981.8961744,148,321,26831,FORWARD
34,1764914981.903038,149,322,26718,FORWARD
35,1764914981.9101794,149,323,27109,FORWARD
36,1764914981.9160845,150,323,27116,FORWARD
37,1764914981.9223175,149,324,27153,FORWARD
38,1764914981.9281385,150,324,27093,FORWARD
39,1764914981.9341042,151,324,27269,FORWARD
40,1764914981.9400253,151,324,27298,FORWARD
41,1764914981.9457636,152,324,27393,FORWARD
42,1764914981.95193,154,323,27476,FORWARD
43,1764914981.958443,157,321,27731,FORWARD
44,1764914981.9638636,163,320,27906,FORWARD
45,1764914981.9707036,172,318,28029,FORWARD
46,1764914981.9765272,183,316,28102,FORWARD
47,1764914981.9817786,196,313,28219,TURN_RIGHT
48,1764914981.9887404,212,309,28308,TURN_RIGHT
49,1764914981.9943864,225,305,27306,TURN_RIGHT
50,1764914982.0009034,237,302,25049,TURN_RIGHT
51,1764914982.00872,250,297,22793,TURN_RIGHT
52,1764914982.0149944,261,291,20343,TURN_RIGHT
53,1764914982.0213609,269,287,17380,TURN_RIGHT
54,1764914982.0273757,278,284,14367,TURN_RIGHT
55,1764914982.033757,287,281,11309,TURN_RIGHT
